1,1,2023-05-17,2023-06-08,23
1,2,2023-05-30,2023-06-03,5
1,3,2023-05-14,2023-06-06,24
1,4,2023-05-15,2023-06-01,18
1,5,2023-05-17,2023-06-08,23
1,6,2023-05-20,2023-06-07,19
2,1,2023-05-11,2023-06-07,28
2,2,2023-05-10,2023-06-06,28
2,3,2023-05-15,2023-06-08,25
2,4,2023-05-12,2023-05-31,20
2,5,2023-05-31,2023-06-08,9
2,6,2023-05-29,2023-06-05,8
3,1,2023-05-18,2023-06-06,20
3,2,2023-05-12,2023-06-03,23
3,3,2023-05-26,2023-06-08,14
3,4,2023-05-10,2023-06-05,27
3,5,2023-05-12,2023-05-31,20
3,6,2023-05-13,2023-05-27,15
4,1,2023-05-22,2023-06-05,15
4,2,2023-05-29,2023-06-02,5
4,3,2023-05-15,2023-06-08,25
4,4,2023-05-30,2023-05-30,1
4,5,2023-05-19,2023-05-26,8
4,6,2023-05-20,2023-05-30,11
